Title,URL,Tag String,Number of Works
Moana (2016),https://archiveofourown.org/tags/Moana%20(2016)/works,Moana%20(2016),528
The Mummy Series,https://archiveofourown.org/tags/The%20Mummy%20Series/works,The%20Mummy%20Series,521
The Outsiders - All Media Types,https://archiveofourown.org/tags/The%20Outsiders%20-%20All%20Media%20Types/works,The%20Outsiders%20-%20All%20Media%20Types,515
Ant-Man (Movies),https://archiveofourown.org/tags/Ant-Man%20(Movies)/works,Ant-Man%20(Movies),509
Justice League (2017),https://archiveofourown.org/tags/Justice%20League%20(2017)/works,Justice%20League%20(2017),480
Crimson Peak (2015),https://archiveofourown.org/tags/Crimson%20Peak%20(2015)/works,Crimson%20Peak%20(2015),475
Hamlet - All Media Types,https://archiveofourown.org/tags/Hamlet%20-%20All%20Media%20Types/works,Hamlet%20-%20All%20Media%20Types,471
The Little Mermaid (1989),https://archiveofourown.org/tags/The%20Little%20Mermaid%20(1989)/works,The%20Little%20Mermaid%20(1989),469
Fantastic Four (Movies 2005-2007),https://archiveofourown.org/tags/Fantastic%20Four%20(Movies%202005-2007)/works,Fantastic%20Four%20(Movies%202005-2007),464
Man of Steel (2013),https://archiveofourown.org/tags/Man%20of%20Steel%20(2013)/works,Man%20of%20Steel%20(2013),463
Bourne Series - All Media Types,https://archiveofourown.org/tags/Bourne%20Series%20-%20All%20Media%20Types/works,Bourne%20Series%20-%20All%20Media%20Types,462
Bourne (Movies),https://archiveofourown.org/tags/Bourne%20(Movies)/works,Bourne%20(Movies),461
Mortal Kombat - All Media Types,https://archiveofourown.org/tags/Mortal%20Kombat%20-%20All%20Media%20Types/works,Mortal%20Kombat%20-%20All%20Media%20Types,461
The Martian (2015),https://archiveofourown.org/tags/The%20Martian%20(2015)/works,The%20Martian%20(2015),457
Alien Quadrilogy (Movies),https://archiveofourown.org/tags/Alien%20Quadrilogy%20(Movies)/works,Alien%20Quadrilogy%20(Movies),447
Three Kingdoms History & Adaptations - All Media Types,https://archiveofourown.org/tags/Three%20Kingdoms%20History%20*a*%20Adaptations%20-%20All%20Media%20Types/works,Three%20Kingdoms%20History%20*a*%20Adaptations%20-%20All%20Media%20Types,444
Alien (Prequel Movies),https://archiveofourown.org/tags/Alien%20(Prequel%20Movies)/works,Alien%20(Prequel%20Movies),437
Divergent (Movies),https://archiveofourown.org/tags/Divergent%20(Movies)/works,Divergent%20(Movies),432
Hellboy - All Media Types,https://archiveofourown.org/tags/Hellboy%20-%20All%20Media%20Types/works,Hellboy%20-%20All%20Media%20Types,432
Star Wars Episode VI: Return of the Jedi,https://archiveofourown.org/tags/Star%20Wars%20Episode%20VI:%20Return%20of%20the%20Jedi/works,Star%20Wars%20Episode%20VI:%20Return%20of%20the%20Jedi,432
Aladdin - All Media Types,https://archiveofourown.org/tags/Aladdin%20-%20All%20Media%20Types/works,Aladdin%20-%20All%20Media%20Types,431
Dead Poets Society (1989),https://archiveofourown.org/tags/Dead%20Poets%20Society%20(1989)/works,Dead%20Poets%20Society%20(1989),423
Lost Boys (Movies),https://archiveofourown.org/tags/Lost%20Boys%20(Movies)/works,Lost%20Boys%20(Movies),418
The Mortal Instruments (Movies),https://archiveofourown.org/tags/The%20Mortal%20Instruments%20(Movies)/works,The%20Mortal%20Instruments%20(Movies),416
Teenage Mutant Ninja Turtles (Bay Movies),https://archiveofourown.org/tags/Teenage%20Mutant%20Ninja%20Turtles%20(Bay%20Movies)/works,Teenage%20Mutant%20Ninja%20Turtles%20(Bay%20Movies),414
Addams Family - All Media Types,https://archiveofourown.org/tags/Addams%20Family%20-%20All%20Media%20Types/works,Addams%20Family%20-%20All%20Media%20Types,409
Tinker Tailor Soldier Spy - All Media Types,https://archiveofourown.org/tags/Tinker%20Tailor%20Soldier%20Spy%20-%20All%20Media%20Types/works,Tinker%20Tailor%20Soldier%20Spy%20-%20All%20Media%20Types,409
Star Wars Episode II: Attack of the Clones,https://archiveofourown.org/tags/Star%20Wars%20Episode%20II:%20Attack%20of%20the%20Clones/works,Star%20Wars%20Episode%20II:%20Attack%20of%20the%20Clones,406
Star Wars Episode V: Empire Strikes Back,https://archiveofourown.org/tags/Star%20Wars%20Episode%20V:%20Empire%20Strikes%20Back/works,Star%20Wars%20Episode%20V:%20Empire%20Strikes%20Back,403
Tomb Raider & Related Fandoms,https://archiveofourown.org/tags/Tomb%20Raider%20*a*%20Related%20Fandoms/works,Tomb%20Raider%20*a*%20Related%20Fandoms,402
Dunkirk (2017),https://archiveofourown.org/tags/Dunkirk%20(2017)/works,Dunkirk%20(2017),395
Scooby Doo - All Media Types,https://archiveofourown.org/tags/Scooby%20Doo%20-%20All%20Media%20Types/works,Scooby%20Doo%20-%20All%20Media%20Types,393
Hot Fuzz (2007),https://archiveofourown.org/tags/Hot%20Fuzz%20(2007)/works,Hot%20Fuzz%20(2007),390
Sky High (2005),https://archiveofourown.org/tags/Sky%20High%20(2005)/works,Sky%20High%20(2005),388
Terminator (Movies),https://archiveofourown.org/tags/Terminator%20(Movies)/works,Terminator%20(Movies),386
Wreck-It Ralph (2012),https://archiveofourown.org/tags/Wreck-It%20Ralph%20(2012)/works,Wreck-It%20Ralph%20(2012),381
The Fast and the Furious (2001),https://archiveofourown.org/tags/The%20Fast%20and%20the%20Furious%20(2001)/works,The%20Fast%20and%20the%20Furious%20(2001),376
Mulan - All Media Types,https://archiveofourown.org/tags/Mulan%20-%20All%20Media%20Types/works,Mulan%20-%20All%20Media%20Types,376
Aladdin (1992),https://archiveofourown.org/tags/Aladdin%20(1992)/works,Aladdin%20(1992),374
Hard Core Logo (1996),https://archiveofourown.org/tags/Hard%20Core%20Logo%20(1996)/works,Hard%20Core%20Logo%20(1996),366
Repo! The Genetic Opera (2008),https://archiveofourown.org/tags/Repo!%20The%20Genetic%20Opera%20(2008)/works,Repo!%20The%20Genetic%20Opera%20(2008),361
Judge Dredd - All Media Types,https://archiveofourown.org/tags/Judge%20Dredd%20-%20All%20Media%20Types/works,Judge%20Dredd%20-%20All%20Media%20Types,358
Veronica Mars (Movie 2014),https://archiveofourown.org/tags/Veronica%20Mars%20(Movie%202014)/works,Veronica%20Mars%20(Movie%202014),358
Mulan (1998),https://archiveofourown.org/tags/Mulan%20(1998)/works,Mulan%20(1998),354
The Muppets - All Media Types,https://archiveofourown.org/tags/The%20Muppets%20-%20All%20Media%20Types/works,The%20Muppets%20-%20All%20Media%20Types,352
Hellboy (Movies),https://archiveofourown.org/tags/Hellboy%20(Movies)/works,Hellboy%20(Movies),338
The Matrix (Movies),https://archiveofourown.org/tags/The%20Matrix%20(Movies)/works,The%20Matrix%20(Movies),335
Blade - All Media Types,https://archiveofourown.org/tags/Blade%20-%20All%20Media%20Types/works,Blade%20-%20All%20Media%20Types,332
Dredd (2012),https://archiveofourown.org/tags/Dredd%20(2012)/works,Dredd%20(2012),330
The Expendables (Movies),https://archiveofourown.org/tags/The%20Expendables%20(Movies)/works,The%20Expendables%20(Movies),328
Back to the Future (Movies),https://archiveofourown.org/tags/Back%20to%20the%20Future%20(Movies)/works,Back%20to%20the%20Future%20(Movies),327
Megamind (2010),https://archiveofourown.org/tags/Megamind%20(2010)/works,Megamind%20(2010),324
Bridget Jones's Diary - All Media Types,https://archiveofourown.org/tags/Bridget%20Jones's%20Diary%20-%20All%20Media%20Types/works,Bridget%20Jones's%20Diary%20-%20All%20Media%20Types,322
Phantom of the Opera (2004),https://archiveofourown.org/tags/Phantom%20of%20the%20Opera%20(2004)/works,Phantom%20of%20the%20Opera%20(2004),320
Frankenstein & Related Fandoms,https://archiveofourown.org/tags/Frankenstein%20*a*%20Related%20Fandoms/works,Frankenstein%20*a*%20Related%20Fandoms,318
Shrek (Movies),https://archiveofourown.org/tags/Shrek%20(Movies)/works,Shrek%20(Movies),316
Tinker Tailor Soldier Spy (2011),https://archiveofourown.org/tags/Tinker%20Tailor%20Soldier%20Spy%20(2011)/works,Tinker%20Tailor%20Soldier%20Spy%20(2011),314
History Boys - All Media Types,https://archiveofourown.org/tags/History%20Boys%20-%20All%20Media%20Types/works,History%20Boys%20-%20All%20Media%20Types,307
Blade (Movie Series),https://archiveofourown.org/tags/Blade%20(Movie%20Series)/works,Blade%20(Movie%20Series),305
The Chronicles of Riddick (2004),https://archiveofourown.org/tags/The%20Chronicles%20of%20Riddick%20(2004)/works,The%20Chronicles%20of%20Riddick%20(2004),300
Coco (2017),https://archiveofourown.org/tags/Coco%20(2017)/works,Coco%20(2017),298
The Greatest Showman (2017),https://archiveofourown.org/tags/The%20Greatest%20Showman%20(2017)/works,The%20Greatest%20Showman%20(2017),296
Alexander (2004),https://archiveofourown.org/tags/Alexander%20(2004)/works,Alexander%20(2004),295
James Bond (Classic movies),https://archiveofourown.org/tags/James%20Bond%20(Classic%20movies)/works,James%20Bond%20(Classic%20movies),294
Toy Story (Movies),https://archiveofourown.org/tags/Toy%20Story%20(Movies)/works,Toy%20Story%20(Movies),293
Ocean's (Movies),https://archiveofourown.org/tags/Ocean's%20(Movies)/works,Ocean's%20(Movies),288
Wallander - All Media Types,https://archiveofourown.org/tags/Wallander%20-%20All%20Media%20Types/works,Wallander%20-%20All%20Media%20Types,288
Lilo & Stitch (2002),https://archiveofourown.org/tags/Lilo%20*a*%20Stitch%20(2002)/works,Lilo%20*a*%20Stitch%20(2002),284
The LEGO Movie (2014),https://archiveofourown.org/tags/The%20LEGO%20Movie%20(2014)/works,The%20LEGO%20Movie%20(2014),281
The Worst Witch - All Media Types,https://archiveofourown.org/tags/The%20Worst%20Witch%20-%20All%20Media%20Types/works,The%20Worst%20Witch%20-%20All%20Media%20Types,278
Cinderella (2015),https://archiveofourown.org/tags/Cinderella%20(2015)/works,Cinderella%20(2015),276
Indiana Jones Series,https://archiveofourown.org/tags/Indiana%20Jones%20Series/works,Indiana%20Jones%20Series,276
Rush (2013),https://archiveofourown.org/tags/Rush%20(2013)/works,Rush%20(2013),276
Call Me By Your Name - All Media Types,https://archiveofourown.org/tags/Call%20Me%20By%20Your%20Name%20-%20All%20Media%20Types/works,Call%20Me%20By%20Your%20Name%20-%20All%20Media%20Types,275
Saw (Movies),https://archiveofourown.org/tags/Saw%20(Movies)/works,Saw%20(Movies),272
The Lion King (1994),https://archiveofourown.org/tags/The%20Lion%20King%20(1994)/works,The%20Lion%20King%20(1994),271
Tintin - All Media Types,https://archiveofourown.org/tags/Tintin%20-%20All%20Media%20Types/works,Tintin%20-%20All%20Media%20Types,270
Velvet Goldmine,https://archiveofourown.org/tags/Velvet%20Goldmine/works,Velvet%20Goldmine,267
Fright Night (2011),https://archiveofourown.org/tags/Fright%20Night%20(2011)/works,Fright%20Night%20(2011),265
Sleeping Beauty (1959),https://archiveofourown.org/tags/Sleeping%20Beauty%20(1959)/works,Sleeping%20Beauty%20(1959),262
ParaNorman (2012),https://archiveofourown.org/tags/ParaNorman%20(2012)/works,ParaNorman%20(2012),261
The Bourne Legacy (2012),https://archiveofourown.org/tags/The%20Bourne%20Legacy%20(2012)/works,The%20Bourne%20Legacy%20(2012),259
The Huntsman (Movies),https://archiveofourown.org/tags/The%20Huntsman%20(Movies)/works,The%20Huntsman%20(Movies),259
Notre-Dame de Paris | The Hunchback of Notre-Dame - All Media Types,https://archiveofourown.org/tags/Notre-Dame%20de%20Paris%20%7C%20The%20Hunchback%20of%20Notre-Dame%20-%20All%20Media%20Types/works,Notre-Dame%20de%20Paris%20%7C%20The%20Hunchback%20of%20Notre-Dame%20-%20All%20Media%20Types,259
Superman Returns (2006),https://archiveofourown.org/tags/Superman%20Returns%20(2006)/works,Superman%20Returns%20(2006),259
The Nightmare Before Christmas (1993),https://archiveofourown.org/tags/The%20Nightmare%20Before%20Christmas%20(1993)/works,The%20Nightmare%20Before%20Christmas%20(1993),256
Tron (1982),https://archiveofourown.org/tags/Tron%20(1982)/works,Tron%20(1982),256
GoldenEye (1995),https://archiveofourown.org/tags/GoldenEye%20(1995)/works,GoldenEye%20(1995),253
Inglourious Basterds (2009),https://archiveofourown.org/tags/Inglourious%20Basterds%20(2009)/works,Inglourious%20Basterds%20(2009),253
Push (2009),https://archiveofourown.org/tags/Push%20(2009)/works,Push%20(2009),252
The Princess and the Frog (2009),https://archiveofourown.org/tags/The%20Princess%20and%20the%20Frog%20(2009)/works,The%20Princess%20and%20the%20Frog%20(2009),251
The Covenant (2006),https://archiveofourown.org/tags/The%20Covenant%20(2006)/works,The%20Covenant%20(2006),249
Trolls (2016),https://archiveofourown.org/tags/Trolls%20(2016)/works,Trolls%20(2016),249
Hansel and Gretel: Witch Hunters (2013),https://archiveofourown.org/tags/Hansel%20and%20Gretel:%20Witch%20Hunters%20(2013)/works,Hansel%20and%20Gretel:%20Witch%20Hunters%20(2013),248
Little Red Riding Hood - All Media Types,https://archiveofourown.org/tags/Little%20Red%20Riding%20Hood%20-%20All%20Media%20Types/works,Little%20Red%20Riding%20Hood%20-%20All%20Media%20Types,244
Sing (2016),https://archiveofourown.org/tags/Sing%20(2016)/works,Sing%20(2016),241
Spider-Man (Movies - Raimi),https://archiveofourown.org/tags/Spider-Man%20(Movies%20-%20Raimi)/works,Spider-Man%20(Movies%20-%20Raimi),241
Fifty Shades of Grey - All Media Types,https://archiveofourown.org/tags/Fifty%20Shades%20of%20Grey%20-%20All%20Media%20Types/works,Fifty%20Shades%20of%20Grey%20-%20All%20Media%20Types,239
Snowpiercer (2013),https://archiveofourown.org/tags/Snowpiercer%20(2013)/works,Snowpiercer%20(2013),238
Hannibal Lecter (Hopkins Movies),https://archiveofourown.org/tags/Hannibal%20Lecter%20(Hopkins%20Movies)/works,Hannibal%20Lecter%20(Hopkins%20Movies),234
Doom (2005),https://archiveofourown.org/tags/Doom%20(2005)/works,Doom%20(2005),233
The Breakfast Club (1985),https://archiveofourown.org/tags/The%20Breakfast%20Club%20(1985)/works,The%20Breakfast%20Club%20(1985),230
Titanic (1997),https://archiveofourown.org/tags/Titanic%20(1997)/works,Titanic%20(1997),228
V for Vendetta - All Media Types,https://archiveofourown.org/tags/V%20for%20Vendetta%20-%20All%20Media%20Types/works,V%20for%20Vendetta%20-%20All%20Media%20Types,228
The Mummy (1999),https://archiveofourown.org/tags/The%20Mummy%20(1999)/works,The%20Mummy%20(1999),224
Call Me By Your Name (2017),https://archiveofourown.org/tags/Call%20Me%20By%20Your%20Name%20(2017)/works,Call%20Me%20By%20Your%20Name%20(2017),223
Watchmen (2009),https://archiveofourown.org/tags/Watchmen%20(2009)/works,Watchmen%20(2009),223
Wilby Wonderful (2004),https://archiveofourown.org/tags/Wilby%20Wonderful%20(2004)/works,Wilby%20Wonderful%20(2004),222
G.I. Joe - All Media Types,https://archiveofourown.org/tags/G*d*I*d*%20Joe%20-%20All%20Media%20Types/works,G*d*I*d*%20Joe%20-%20All%20Media%20Types,221
History Boys (2006),https://archiveofourown.org/tags/History%20Boys%20(2006)/works,History%20Boys%20(2006),216
Only Lovers Left Alive (2013),https://archiveofourown.org/tags/Only%20Lovers%20Left%20Alive%20(2013)/works,Only%20Lovers%20Left%20Alive%20(2013),216
Book of Life (2014),https://archiveofourown.org/tags/Book%20of%20Life%20(2014)/works,Book%20of%20Life%20(2014),215
Pitch Black (2000),https://archiveofourown.org/tags/Pitch%20Black%20(2000)/works,Pitch%20Black%20(2000),214
Cars (Movies),https://archiveofourown.org/tags/Cars%20(Movies)/works,Cars%20(Movies),212
Dark Shadows (1966),https://archiveofourown.org/tags/Dark%20Shadows%20(1966)/works,Dark%20Shadows%20(1966),212
Shelter (2007),https://archiveofourown.org/tags/Shelter%20(2007)/works,Shelter%20(2007),212
Blade Runner (Movies),https://archiveofourown.org/tags/Blade%20Runner%20(Movies)/works,Blade%20Runner%20(Movies),211
Evil Dead - All Media Types,https://archiveofourown.org/tags/Evil%20Dead%20-%20All%20Media%20Types/works,Evil%20Dead%20-%20All%20Media%20Types,211
The Hunchback of Notre Dame (1996),https://archiveofourown.org/tags/The%20Hunchback%20of%20Notre%20Dame%20(1996)/works,The%20Hunchback%20of%20Notre%20Dame%20(1996),207
Constantine (2005),https://archiveofourown.org/tags/Constantine%20(2005)/works,Constantine%20(2005),203
Underworld (Movies),https://archiveofourown.org/tags/Underworld%20(Movies)/works,Underworld%20(Movies),202
RED (Movies),https://archiveofourown.org/tags/RED%20(Movies)/works,RED%20(Movies),201
Askewniverse,https://archiveofourown.org/tags/Askewniverse/works,Askewniverse,200
The Lorax (2012),https://archiveofourown.org/tags/The%20Lorax%20(2012)/works,The%20Lorax%20(2012),200
Heneral Luna (2015),https://archiveofourown.org/tags/Heneral%20Luna%20(2015)/works,Heneral%20Luna%20(2015),199
Princess Bride (1987),https://archiveofourown.org/tags/Princess%20Bride%20(1987)/works,Princess%20Bride%20(1987),198
Reservoir Dogs (1992),https://archiveofourown.org/tags/Reservoir%20Dogs%20(1992)/works,Reservoir%20Dogs%20(1992),197
RocknRolla (2008),https://archiveofourown.org/tags/RocknRolla%20(2008)/works,RocknRolla%20(2008),197
Bridget Jones's Diary (2001),https://archiveofourown.org/tags/Bridget%20Jones's%20Diary%20(2001)/works,Bridget%20Jones's%20Diary%20(2001),194
Dune - All Media Types,https://archiveofourown.org/tags/Dune%20-%20All%20Media%20Types/works,Dune%20-%20All%20Media%20Types,193
The Invisible Man - All Media Types,https://archiveofourown.org/tags/The%20Invisible%20Man%20-%20All%20Media%20Types/works,The%20Invisible%20Man%20-%20All%20Media%20Types,193
Treasure Planet (2002),https://archiveofourown.org/tags/Treasure%20Planet%20(2002)/works,Treasure%20Planet%20(2002),192
The Great Gatsby (2013),https://archiveofourown.org/tags/The%20Great%20Gatsby%20(2013)/works,The%20Great%20Gatsby%20(2013),191
Coraline - All Media Types,https://archiveofourown.org/tags/Coraline%20-%20All%20Media%20Types/works,Coraline%20-%20All%20Media%20Types,190
Jane Eyre - All Media Types,https://archiveofourown.org/tags/Jane%20Eyre%20-%20All%20Media%20Types/works,Jane%20Eyre%20-%20All%20Media%20Types,189
The Lorien Legacies - All Media Types,https://archiveofourown.org/tags/The%20Lorien%20Legacies%20-%20All%20Media%20Types/works,The%20Lorien%20Legacies%20-%20All%20Media%20Types,189
